id;name;date_created;description;active;continue_on_click;language;hide_timer;timer_location;skip_button_location;hide_all_ui;hide_play_button;hide_skip_button;fraud;brand_safety;network_id;ad_tag_url;width;height;duration;whitelist_keywords;serve_on_unmeasurable;is_branded;private_brand_safety
174;"テスト VAST";"2018-03-06 22:17:12";テスト;0;0;JP;0;middle;bottom_middle;0;0;0;0;1;40;http://www.asahi.com;300;250;15;NULL;1;1;1
178;"SAMPLE - DO NOT TOUCH!";"2018-03-13 13:10:10";"ALways live vast for testing";0;0;EN;0;bottom;top_right;0;0;0;1;1;98;https://video.combotag.com/17.xml;300;250;6;NULL;1;1;1
179;PG12313;"2018-03-14 08:22:02";;1;0;EN;0;bottom;middle_right;0;0;0;1;1;59;http://www.vast.com;300;250;15;NULL;1;1;1
180;Mazda-Campaign1;"2018-03-14 08:31:33";;1;0;JP;0;bottom;middle_right;0;0;0;1;1;59;http://www.mazdavast.com;300;250;15;NULL;1;1;1
181;"Test_created by NetManager";"2018-03-14 16:25:32";;0;0;EN;0;bottom;middle_right;0;0;0;0;1;98;https://video.combotag.com/17.xml;300;250;0;NULL;1;1;0
184;Pg1wefnwef;"2018-03-15 14:43:02";;1;1;EN;1;bottom;middle_right;0;1;0;1;1;59;http://www.vast.com;300;250;0;NULL;1;1;1
189;test-Fraud&BrandSafety;"2018-03-18 15:24:23";;0;0;EN;0;bottom;middle_right;0;0;0;0;1;98;https://v.combotag.com/17.xml;300;250;0;NULL;1;1;1
190;testtag;"2018-03-19 10:06:01";;1;0;EN;0;bottom;middle_right;0;0;0;1;1;103;https://video.combotag.com/17.xml;300;250;0;NULL;1;1;1
191;219377205;"2018-04-18 21:09:01";NULL;1;1;EN;0;bottom;middle_right;0;0;1;1;1;122;"https://ad.doubleclick.net/ddm/pfadx/N5926.288332ACCUEN/B21036216.219377205;sz=0x0;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;dcmt=text/xml";300;250;15;NULL;1;1;1
192;219377208;"2018-04-18 21:09:02";NULL;1;1;EN;0;bottom;middle_right;0;0;1;1;1;122;"https://ad.doubleclick.net/ddm/pfadx/N5926.288332ACCUEN/B21036216.219377208;sz=0x0;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;dcmt=text/xml";300;250;15;NULL;1;1;1
